tadpole,swim.dur,treatment
1,8.5,touch
1,1.3,touch
1,2,touch
1,3,touch
1,3,touch
2,3,touch
2,11,touch
2,5.05,touch
2,3.5,touch
2,11,touch
3,8.3,touch
3,10.1,touch
3,6.2,touch
3,2.73,touch
3,3,touch
4,5,touch
4,6.7,touch
4,1.4,touch
4,3.05,touch
4,1.73,touch
5,1.09,touch
5,2.04,touch
5,5.5,touch
5,3.7,touch
5,1.94,touch
6,2,touch
6,1.4,touch
6,0.4,touch
6,1.5,touch
6,1.2,touch
7,1.6,touch
7,2.5,touch
7,2,touch
7,1.7,touch
7,4,touch
8,8.04,touch
8,8.28,touch
8,2.53,touch
8,4.78,touch
8,2.73,touch
9,4.61,touch
9,1,touch
9,8,touch
9,1,touch
9,13.5,touch
10,3.3,touch
10,2.6,touch
10,6.8,touch
10,3.4,touch
10,8.3,touch
11,18,touch
11,5,touch
11,3,touch
11,2,touch
11,13.09,touch
12,6.54,touch
12,7.52,touch
12,2,touch
12,5,touch
12,3.86,touch
13,1.83,touch
13,4.24,touch
13,2.66,touch
13,5.59,touch
13,5.9,touch
14,6.6,touch
14,6.5,touch
14,5.32,touch
14,2.95,touch
14,9.18,touch
15,3,touch
15,2,touch
15,1,touch
15,1.5,touch
15,1.1,touch
16,2.6,touch
16,2.29,touch
16,1.5,touch
16,1.38,touch
16,0.98,touch
17,3.17,touch
17,1.56,touch
17,1.41,touch
17,2.6,touch
17,3.26,touch
18,5,touch
18,1.3,touch
18,5.19,touch
18,6.5,touch
18,3.2,touch
19,5.2,touch
19,2.5,touch
19,2.06,touch
19,2.62,touch
19,2,touch
20,8,touch
20,6,touch
20,3,touch
20,3.64,touch
20,1.83,touch
21,2.13,touch
21,7.43,touch
21,2.89,touch
21,2.04,touch
21,2,touch
22,1.6,touch
22,2,touch
22,2,touch
22,2,touch
22,4,touch
23,15,touch
23,2.36,touch
23,4.7,touch
23,15,touch
23,3.8,touch
24,4.8,touch
24,13.9,touch
24,4.01,touch
24,5.5,touch
24,1.3,touch
25,3,touch
25,1.8,touch
25,2.19,touch
25,2.12,touch
25,1.46,touch
26,0.97,touch
26,3,touch
26,3.74,touch
26,1.39,touch
26,2,touch
27,1.6,touch
27,3.1,touch
27,3.3,touch
27,1.9,touch
27,1.7,touch
28,1.7,touch
28,2,touch
28,2.3,touch
28,4,touch
28,3.75,touch
29,5.17,touch
29,4.33,touch
29,8.6,touch
29,11.02,touch
29,5.15,touch
30,2,touch
30,10,touch
30,4,touch
30,15.3,touch
30,6.2,touch
31,3.2,touch
31,1.8,touch
31,3.3,touch
31,18.3,touch
31,7,touch
32,4,touch
32,4,touch
32,3,touch
32,6.24,touch
32,6.6,touch
33,9.58,touch
33,2,touch
33,3,touch
33,5.74,touch
33,3.97,touch
34,3.55,touch
34,1.18,touch
34,2.08,touch
34,2.3,touch
34,4.6,touch
35,7.5,touch
35,9.56,touch
35,2.94,touch
35,5.73,touch
35,12,touch
36,3,touch
36,2.6,touch
36,1.1,touch
36,3.4,touch
36,2.4,touch
37,1.96,touch
37,8.76,touch
37,7.83,touch
37,2.01,touch
37,2.84,touch
38,2.03,touch
38,3.4,touch
38,3.7,touch
38,2.75,touch
38,4,touch
39,0.1,touch
39,2.11,touch
39,2.8,touch
39,1.15,touch
39,1.5,touch
40,3.7,touch
40,3.64,touch
40,1.27,touch
40,1,touch
40,4,touch
41,5,touch
41,3,touch
41,8.43,touch
41,2.25,touch
41,2.2,touch
42,2.8,touch
42,3.23,touch
42,3.74,touch
42,1.5,touch
42,1,touch
43,1,touch
43,2,touch
43,2,touch
43,5,touch
43,1,touch
44,1.93,touch
44,5,touch
44,1,touch
44,7.4,touch
44,5.9,touch
45,3.1,touch
45,0.81,touch
45,2,touch
45,1,touch
45,3.9,touch
46,2.5,touch
46,2.73,touch
46,1.89,touch
